composition,phase,density,hv,yield_strength,young_modulus
Al0.25 Co1 Fe1 Ni1,FCC,7.9,138,158,192
Al0.5 Co1 Fe1 Ni1,FCC+BCC,7.4,212,346,
Al0.75 Co1 Fe1 Ni1,FCC+BCC,7,385,794,
Al1 Co1 Fe1 Ni1,BCC,6.6,456,964,162
Co1 Fe1 Ni1,FCC,8.5,125,204,207
Co1 Fe1 Ni1,FCC,8.5,125,209,207
Co1 Fe1 Ni1 Si0.25,FCC,7.7,149,196,186
Co1 Fe1 Ni1 Si0.5,FCC+Sec.,7.1,287,476,
Co1 Fe1 Ni1 Si0.75,FCC+Sec.,6.6,570,1301,
Co1 Cr1 Fe1 Ni1,FCC,8.2,,274,226
Co1 Cr1 Mn1 Ni1,FCC,8.1,,282,222
Co1 Cr1 Ni1,FCC,8.3,,300,231
Co1 Fe1 Mn1 Ni1,FCC,8.2,,170,204
Co1 Fe1 Ni1,FCC,8.5,,211,207
Co1 Mn1 Ni1,FCC,8.4,,231,202
Fe1 Mn1 Ni1,FCC,8.1,,221,203
Co1 Cr1 Fe1 Nb0.103 Ni1,FCC+Sec.,8.2,,318,
Co1 Cr1 Fe1 Nb0.155 Ni1,FCC+Sec.,8.2,,322,
Co1 Cr1 Fe1 Nb0.206 Ni1,FCC+Sec.,8.2,,403,
Co1 Cr1 Fe1 Nb0.309 Ni1,FCC+Sec.,8.2,,479,
Co1 Cr1 Fe1 Nb0.412 Ni1,FCC+Sec.,8.2,,638,
Co1 Cr1 Fe1 Ni1,FCC,8.2,,148,226
Al0.25 Co1 Cr1 Fe1 Ni1,FCC,7.7,110,,213
Al0.25 Co1 Cr1 Fe1 Ni1,FCC,7.7,113,,213
Al0.375 Co1 Cr1 Fe1 Ni1,FCC,7.5,131,,207
Al0.375 Co1 Cr1 Fe1 Ni1,FCC,7.5,196,,207
Al0.5 Co1 Cr1 Fe1 Ni1,FCC+BCC,7.3,159,,
Al0.5 Co1 Cr1 Fe1 Ni1,FCC+BCC,7.3,209,,
Al0.75 Co1 Cr1 Fe1 Ni1,FCC+BCC,7,388,,
Al0.75 Co1 Cr1 Fe1 Ni1,FCC+BCC,7,280,,
Al0.875 Co1 Cr1 Fe1 Ni1,BCC,6.9,538,,188
Al0.875 Co1 Cr1 Fe1 Ni1,FCC+BCC,6.9,361,,
Al1 Co0.8 Cr0.8 Fe0.8 Ni0.8,BCC,6.5,487,,177
Al1 Co0.8 Cr0.8 Fe0.8 Ni0.8,BCC,6.5,499,,177
Al1 Co0.667 Cr0.667 Fe0.667 Ni0.667,BCC,6.2,484,,171
Al1 Co0.667 Cr0.667 Fe0.667 Ni0.667,BCC,6.2,517,,171
Al1 Co0.5 Cr0.5 Fe0.5 Ni0.5,BCC,5.9,509,,160
Al1 Co0.5 Cr0.5 Fe0.5 Ni0.5,BCC,5.9,512,,160
Al1 Co1 Cr1 Fe1 Ni1,BCC,6.7,484,,184
Al1 Co1 Cr1 Fe1 Ni1,FCC+BCC,6.7,433,,
Co1 Cr1 Fe1 Ni1,FCC,8.2,116,,226
Co1 Cr1 Fe1 Ni1,FCC,8.2,113,,226
Al0.5 Co1 Cr1 Fe1 Mo0.5 Ni1,FCC+Sec.,7.7,425,,
Al1 Co0.667 Cr0.667 Fe0.667 Mo0.333 Ni0.667,B2+Sec.,6.6,655,,
Al1 Co0.5 Cr0.5 Fe0.5 Mo0.25 Ni0.5,BCC+B2,6.3,605,,
Al1 Co1 Cr1 Fe1 Mo0.5 Ni1,B2+Sec.,7.1,715,,
Co1 Cr1 Fe1 Mo0.5 Ni1,FCC+Sec.,8.5,210,,
Al0.5 Co1 Cr1 Fe1 Ni1 Ti1,BCC+Laves,6.6,,,
Al1 Co0.667 Cr0.667 Fe0.667 Ni0.667 Ti0.667,BCC+BCC,5.9,,,
Al1 Co0.5 Cr0.5 Fe0.5 Ni0.5 Ti0.5,BCC+BCC,5.6,643,,
Al1 Co1 Cr1 Fe1 Ni1 Ti1,BCC+Laves,6.2,,,
Co1 Cr1 Fe1 Ni1 Ti1,FCC,7.2,,,195
Al0.133 Co1 Cr0.667 Fe0.667 Ni1 Ti0.667,FCC+Sec.,7.2,717,,
Al0.133 Co1 Cr0.667 Fe0.667 Ni1 Ti0.333,FCC,7.6,487,,201
Co1 Cr0.667 Fe0.667 Ni1 Ti0.667,FCC+Sec.,7.4,654,,
Co1 Cr0.667 Fe0.667 Ni1 Ti0.333,FCC,7.8,509,,
Al0.7 Co0.3 Cr1 Fe1 Ni1,FCC+BCC+B2,6.8,624,2033,
Al0.875 Co1 Cr1 Fe1 Ni1,FCC+BCC,6.9,,,
Al1 Co0.667 Cr0.667 Fe0.667 Ni0.667,BCC,6.2,402,,171
Al1 Co0.4 Cr0.4 Fe0.4 Ni0.4,BCC,5.6,487,,152
Al1 Co0.5 Cr0.5 Fe0.5 Ni0.5,BCC,5.9,432,,160
Al1 Co0.333 Cr0.333 Fe0.333 Ni0.333,BCC,5.3,506,,145
Al1 Co1 Cr1 Fe1 Ni1,BCC,6.7,395,,184
Al1 Cr1 Cu1 Fe1 Ni1,FCC+BCC,6.8,342,,
Co1 Cr1 Cu1 Fe1 Ni1,FCC,8.3,286,,206
Cr1 Cu1 Fe1 Mn1 Ni1,FCC+BCC,8.1,296,,
Cr1 Cu1 Fe1 Mo1 Ni1,FCC,8.7,263,,236
Al1 Co1 Cr1 Fe1 Ni1,BCC,6.7,,1251,184
Al1 C0.1 Co1 Cr1 Fe1 Ni1,BCC+Sec.,6.7,,957,
Al1 C0.2 Co1 Cr1 Fe1 Ni1,BCC+Sec.,6.6,,906,
Al1 C0.3 Co1 Cr1 Fe1 Ni1,BCC+Sec.,6.5,,867,
Al1 C0.4 Co1 Cr1 Fe1 Ni1,BCC+Sec.,6.5,,1056,
Al1 C0.5 Co1 Cr1 Fe1 Ni1,BCC+Sec.,6.4,,1060,
Al0.667 C1 Co0.667 Cr0.667 Fe0.667 Ni0.667,BCC+Sec.,5.9,,1255,
Al1 C1 Co1 Cr1 Fe1 Ni1,BCC+Sec.,6.2,,1251,
Al1 Co1 Cr1 Fe1 Ni1,BCC,6.7,,1138,184
Al1 Co1 Cr1 Fe1 Mo0.1 Ni1,BCC,6.8,,1804,188
Al1 Co1 Cr1 Fe1 Mo0.2 Ni1,BCC+Sec.,6.9,,2456,
Al1 Co1 Cr1 Fe1 Mo0.3 Ni1,BCC+Sec.,7,,2649,
Al1 Co1 Cr1 Fe1 Mo0.4 Ni1,BCC+Sec.,7,,2670,
Al1 Co1 Cr1 Fe1 Mo0.5 Ni1,BCC+Sec.,7.1,,2757,
Al1 Co1 Cr1 Fe1 Ni1,BCC,6.7,,1051,184
Al1 Co1 Cr1 Fe1 Nb0.1 Ni1,BCC,6.8,569,1641,182
Al1 Co1 Cr1 Fe1 Nb0.25 Ni1,BCC+Sec.,6.8,668,1959,
Al1 Co1 Cr1 Fe1 Nb0.5 Ni1,BCC+Sec.,7,747,2473,
Al1 Co1 Cr1 Fe1 Nb0.75 Ni1,BCC+Sec.,7,,,
Al1 Co1 Cr1 Fe1 Ni1,BCC,6.7,520,1373,184
Al0.8 Co1 Cr1 Cu1 Fe1 Ni1,FCC+BCC,7.3,270,,
Al1 Co0.5 Cr1 Fe1 Mo0.5 Ni1,BCC+Sec.,7,801,,
Al0.667 Co1 Cr0.667 Fe0.667 Mo0.333 Ni0.667,BCC+Sec.,7.2,741,,
Al0.5 Co1 Cr0.5 Fe0.5 Mo0.25 Ni0.5,FCC+BCC+Sec.,7.3,586,,
Al1 Co1 Cr1 Fe1 Mo0.5 Ni1,BCC+Sec.,7.1,796,,
Al1 Co1 Cr1 Fe1 Mo0.5 Ni1,BCC+Sec.,7.1,755,,
Al1 Co1 Cr1 Fe0.6 Mo0.5 Ni1,BCC+Sec.,7.1,754,,
Al0.667 Co0.667 Cr0.667 Fe1 Mo0.333 Ni0.667,BCC+Sec.,7.2,635,,
Al0.5 Co0.5 Cr0.5 Fe1 Mo0.25 Ni0.5,BCC+Sec.,7.2,639,,
Al1 Co1 Cr1 Fe1 Mo0.5,B2+Sec.,6.8,857,,
Al1 Co1 Cr1 Fe1 Mo0.5 Ni1,B2+Sec.,7.1,730,,
Al1 Co1 Cr1 Fe1 Mo0.5 Ni0.5,B2+Sec.,7,708,,
Al0.667 Co0.667 Cr0.667 Fe0.667 Mo0.333 Ni1,FCC+B2+Sec.,7.2,586,,
Al0.5 Co0.5 Cr0.5 Fe0.5 Mo0.25 Ni1,FCC+B2+Sec.,7.3,395,,
Al1 Co1 Cr1 Fe1 Ni1,BCC,6.7,,1110,184
Al1 Co1 Cr1 Fe1 Ni1 Si1,BCC+Sec.,5.7,,2411,
Al1 Co1 Cr1 Fe1 Ni1 Si0.2,BCC,6.5,,1265,176
Al1 Co1 Cr1 Fe1 Ni1 Si0.4,BCC,6.2,,1481,169
Al1 Co1 Cr1 Fe1 Ni1 Si0.6,BCC,6,,1834,162
Al1 Co1 Cr1 Fe1 Ni1 Si0.8,BCC+Sec.,5.8,,2179,
Al0.25 Co1 Cr1 Cu0.5 Fe1 Ni1 Ti0.5,FCC,7.4,,,192
Al0.25 Co1 Cr1 Cu0.75 Fe1 Ni1 Ti0.5,FCC,7.5,,750,189
Al0.5 Co1 Cr1 Cu0.5 Fe1 Ni1 Ti0.5,FCC+BCC,7.1,,1580,
Al0.75 Co1 Cr1 Cu0.25 Fe1 Ni1 Ti0.5,FCC+BCC,6.8,,1900,
Co1 Cr1 Cu1 Fe1 Ni1 Ti0.5,FCC,7.8,,700,194
Al1 Co1 Cr1 Fe1 Ni1 Ti1,BCC+BCC,6.2,,1860,
Al1 Co1 Cr1 Fe1 Ni1 Ti0.5,BCC+BCC,6.4,178,2260,
Al0.667 Co0.667 Cr0.667 Fe0.667 Ni0.667 Ti1,BCC+Sec.,6.1,,2220,
Al1 Co1 Cr1 Fe1 Ni1 Ti1 V1 Zr1,,6.3,780,,
Al1 Co1 Fe1 Ni1 Ti1 V1 Zr1,BCC,6.2,790,,129
Al1 Fe1 Ni1 Ti1 V1 Zr1,BCC,5.9,800,,119
Co1 Cr1 Cu1 Fe1 Ni1 Ti1 V1 Zr1,,7.1,680,,
Co1 Cr1 Fe1 Mo1 Ni1 Ti1 V1 Zr1,,7.3,850,,
Co1 Cu1 Fe1 Ni1 Ti1 V1 Zr1,,7.1,630,,
Co1 Fe1 Mo1 Ni1 Ti1 V1 Zr1,,7.3,790,,
Cu1 Fe1 Ni1 Ti1 V1 Zr1,,6.8,590,,
Fe1 Mo1 Ni1 Ti1 V1 Zr1,BCC+Sec.,7.1,740,,
Al0.1 Co1 Cr1 Fe1 Mn1 Ni1,FCC,7.9,180,,216
Al0.2 Co1 Cr1 Fe1 Mn1 Ni1,FCC,7.7,171,220,212
Al0.38 Co1 Cr1 Fe1 Mn1 Ni1,FCC,7.5,182,244,205
Al0.43 Co1 Cr1 Fe1 Mn1 Ni1,FCC+BCC,7.4,183,285,
Al0.49 Co1 Cr1 Fe1 Mn1 Ni1,FCC+BCC,7.4,220,331,
Al0.56 Co1 Cr1 Fe1 Mn1 Ni1,FCC+BCC,7.3,278,526,
Al0.62 Co1 Cr1 Fe1 Mn1 Ni1,FCC+BCC,7.2,405,833,
Al0.68 Co1 Cr1 Fe1 Mn1 Ni1,FCC+BCC,7.2,486,,
Al0.75 Co1 Cr1 Fe1 Mn1 Ni1,FCC+BCC,7.1,530,,
Al0.81 Co1 Cr1 Fe1 Mn1 Ni1,FCC+BCC,7,539,,
Al0.88 Co1 Cr1 Fe1 Mn1 Ni1,FCC+BCC,7,533,,
Al0.95 Co1 Cr1 Fe1 Mn1 Ni1,FCC+BCC,6.9,535,,
Al1 Co0.8 Cr0.8 Fe0.8 Mn0.8 Ni0.8,BCC,6.6,539,,180
Co1 Cr1 Fe1 Mn1 Ni1,FCC,8,176,208,220
Co1 Cr1 Fe1 Mn1 Ni1,FCC,8,144,,220
Co1 Cr1 Fe1 Mn1 Ni1,FCC,8,135,230,220
Co1 Cr1 Fe1 Mn1 Ni1 V0.25,FCC,7.9,151,,215
Co1 Cr1 Fe1 Mn1 Ni1 V0.25,FCC+Sec.,7.9,144,200,
Co1 Cr1 Fe1 Mn1 Ni1 V0.5,FCC,7.8,186,,210
Co1 Cr1 Fe1 Mn1 Ni1 V0.5,FCC,7.8,275,620,210
Co1 Cr1 Fe1 Mn1 Ni1 V0.75,FCC+Sec.,7.7,380,740,
Co1 Cr1 Fe1 Mn1 Ni1 V0.75,FCC+Sec.,7.7,342,,
Co1 Cr1 Fe1 Mn1 Ni1 V1,FCC+Sec.,7.7,636,1660,
Co1 Cr1 Fe1 Mn1 Ni1 V1,FCC+Sec.,7.7,650,,
Al0.2 Cr0.667 Fe1 Mn0.667 Ni0.333,FCC+BCC,7.2,297,,
Al0.333 Cr0.667 Fe1 Mn0.667 Ni0.333,BCC,7,396,,201
Al1 Cr1 Fe1 Ni1,BCC+B2,6.3,472,1406,
Al1 Cr1 Fe1 Mo1 Ni1,B2+Sec.,7.2,905,,
Al1 Cr1 Fe1 Mo0.2 Ni1,BCC+B2,6.5,549,1487,
Al1 Cr1 Fe1 Mo0.5 Ni1,BCC+B2,6.8,622,1749,
Al1 Cr1 Fe1 Mo0.8 Ni1,B2+Sec.,7,854,1513,
Al0.3 Co1 Cr1 Cu1 Fe1,FCC,7.7,180,,194
Al0.5 Co1 Cr1 Cu1 Fe1,FCC,7.4,207,,187
Al0.8 Co1 Cr1 Cu1 Fe1,FCC+BCC,7,271,,
Al1 Co0.769 Cr0.769 Cu0.769 Fe0.769,FCC+BCC,6.5,476,,
Al1 Co0.667 Cr0.667 Cu0.667 Fe0.667,FCC+BCC,6.3,510,,
Al1 Co0.556 Cr0.556 Cu0.556 Fe0.556,FCC+BCC,6.1,557,,
Al1 Co0.5 Cr0.5 Cu0.5 Fe0.5,FCC+BCC,5.9,567,,
Al1 Co0.435 Cr0.435 Cu0.435 Fe0.435,FCC+BCC,5.7,603,,
Al1 Co0.4 Cr0.4 Cu0.4 Fe0.4,FCC+BCC,5.6,624,,
Al1 Co0.357 Cr0.357 Cu0.357 Fe0.357,BCC,5.5,657,,139
Al1 Co0.333 Cr0.333 Cu0.333 Fe0.333,BCC,5.4,644,,136
Al1 Co1 Cr1 Cu1 Fe1,FCC+BCC,6.8,407,,
Co1 Cr1 Cu1 Fe1,FCC,8.2,134,,208
Co1 Cr1 Cu0.5 Fe1 Ni1,FCC,8.3,172,,215
Co1 Cr1 Cu1 Fe1 Ni1 Ti1,FCC,7.4,,1272,185
Co1 Cr1 Cu1 Fe1 Ni1 Ti0.5,FCC,7.8,,700,194
Co1 Cr1 Cu1 Fe1 Ni1 Ti0.8,FCC+Sec.,7.6,,1042,
Al0.5 B0.2 Co1 Cr1 Cu1 Fe1 Ni1,,7.5,415,,
Al0.5 B0.6 Co1 Cr1 Cu1 Fe1 Ni1,,7.3,505,,
Al0.5 B1 Co1 Cr1 Cu1 Fe1 Ni1,,7.1,736,,
Al0.5 Co1 Cr1 Cu1 Fe1 Ni1,,7.6,300,,
Al0.5 Co1 Cr1 Cu1 Fe1 Ni1,FCC,7.6,225,,189
Al0.5 Co1 Cr1 Cu1 Fe1 Ni1 Ti1,FCC+BCC+Sec.,7,636,,
Al0.5 Co1 Cr1 Cu1 Fe1 Ni1 Ti0.2,FCC,7.5,272,,185
Al0.5 Co1 Cr1 Cu1 Fe1 Ni1 Ti0.4,FCC,7.3,321,,182
Al0.5 Co1 Cr1 Cu1 Fe1 Ni1 Ti0.6,FCC+BCC,7.2,458,,
Al0.5 Co1 Cr1 Cu1 Fe1 Ni1 Ti0.8,FCC+BCC+Sec.,7.1,590,,
Al0.417 Co0.833 Cr0.833 Cu0.833 Fe0.833 Ni0.833 Ti1,FCC+BCC+Sec.,6.9,646,,
Al0.357 Co0.714 Cr0.714 Cu0.714 Fe0.714 Ni0.714 Ti1,FCC+BCC+B2+Sec.,6.8,664,,
Al0.312 Co0.625 Cr0.625 Cu0.625 Fe0.625 Ni0.625 Ti1,FCC+BCC+B2+Sec.,6.7,657,,
Al0.278 Co0.556 Cr0.556 Cu0.556 Fe0.556 Ni0.556 Ti1,FCC+BCC+B2+Sec.,6.6,667,,
Al0.25 Co0.5 Cr0.5 Cu0.5 Fe0.5 Ni0.5 Ti1,FCC+BCC+B2+Sec.,6.5,696,,
Al0.5 Co1 Cr1 Cu1 Fe1 Ni1,FCC,7.6,215,,189
Al0.5 Co1 Cr1 Cu1 Fe1 Ni1 V0.2,FCC,7.6,204,,186
Al0.5 Co1 Cr1 Cu1 Fe1 Ni1 V0.4,FCC+BCC,7.5,231,,
Al0.5 Co1 Cr1 Cu1 Fe1 Ni1 V0.6,FCC+BCC+Sec.,7.5,328,,
Al0.5 Co1 Cr1 Cu1 Fe1 Ni1 V0.8,FCC+BCC+Sec.,7.4,447,,
Al0.5 Co1 Cr1 Cu1 Fe1 Ni1 V1,FCC+BCC+Sec.,7.4,639,,
Al0.417 Co0.833 Cr0.833 Cu0.833 Fe0.833 Ni0.833 V1,BCC,7.3,579,,177
Al0.357 Co0.714 Cr0.714 Cu0.714 Fe0.714 Ni0.714 V1,BCC,7.3,577,,175
Al0.312 Co0.625 Cr0.625 Cu0.625 Fe0.625 Ni0.625 V1,BCC,7.2,594,,174
Al0.278 Co0.556 Cr0.556 Cu0.556 Fe0.556 Ni0.556 V1,BCC,7.2,597,,172
Al0.25 Co0.5 Cr0.5 Cu0.5 Fe0.5 Ni0.5 V1,BCC,7.2,587,,171
Al1 Co1 Cr1 Cu1 Fe1 Ni1,FCC+BCC,7.1,472,,
Al1 Co1 Cu1 Fe1 Nd1 Ni1,Other,7,578,,
Al1 Co1 Cu1 Fe1 Ni1,FCC+BCC,7,536,,
Al1 Co1 Cu1 Fe1 Ni1 Si1,FCC+BCC,5.9,682,,
Al1 Co1 Cu1 Fe1 Ni1 Ti1,FCC+BCC,6.5,626,,
Al1 Co1 Cu1 Fe1 Ni1 Zr1,FCC+BCC+Sec.,6.9,472,,
Al1 Co1 Cr1 Cu1 Fe1 Mn1 Ni1,FCC+BCC+Sec.,7.1,,1005,
Al1 Co1 Cr1 Cu1 Fe1 Ni1,FCC+BCC,7.1,,1303,
Al1 Co1 Cr1 Cu1 Fe1 Ni1 Ti1,FCC+BCC+BCC,6.6,,1234,
Al1 Co1 Cr1 Cu1 Fe1 Ni1 V1,FCC+BCC,6.9,,1469,
Al1 Co1 Cr1 Cu1 Ni1 Ti1,BCC,6.4,,,157
Al1 Co1 Cr1 Cu1 Ni1 Ti1 Y1,Other,5.8,,,
Al1 Co1 Cr1 Cu1 Ni1 Ti1 Y0.5,Other,6.1,,,
Al1 Co1 Cr1 Cu1 Ni1 Ti1 Y0.8,Other,5.9,,,
Co1 Cu1 Fe1 Ni1,FCC,8.6,,,187
Co1 Cu1 Fe1 Ni1 Sn0.02,FCC,8.6,,,185
Co1 Cu1 Fe1 Ni1 Sn0.04,FCC+Sec.,8.6,,,
Co1 Cu1 Fe1 Ni1 Sn0.05,FCC+Sec.,8.6,,,
Co1 Cu1 Fe1 Ni1 Sn0.07,FCC+Sec.,8.6,,,
Co1 Cu1 Fe1 Ni1 Sn0.1,FCC+Sec.,8.6,,,
Co1 Cu1 Fe1 Ni1 Sn0.2,FCC+Sec.,8.5,,,
Co1 Cu1 Fe1 Ni1 Sn0.5,FCC+Sec.,8.3,,,
Co1 Cu1 Fe1 Mn1 Ni1,FCC,8.4,208,,189
Co1 Cu1 Fe1 Mn1 Ni1 Sn0.03,FCC,8.4,192,,187
Co1 Cu1 Fe1 Mn1 Ni1 Sn0.05,FCC+Sec.,8.4,205,,
Co1 Cu1 Fe1 Mn1 Ni1 Sn0.08,FCC+Sec.,8.3,219,,
Co1 Cu1 Fe1 Mn1 Ni1 Sn0.1,FCC+Sec.,8.3,253,,
Co1 Cu1 Fe1 Mn1 Ni1 Sn0.2,FCC+Sec.,8.3,319,,
Al1 Cr1 Cu1 Fe1 Ni1,FCC+BCC,6.8,495,,
Al1 Cr1 Cu1 Fe1 Ni0.6,FCC+BCC,6.6,496,,
Al1 Cr1 Cu1 Fe1 Ni0.8,FCC+BCC,6.7,486,,
Al0.833 Cr0.833 Cu0.833 Fe0.833 Ni1,FCC+BCC,6.8,407,,
Al0.714 Cr0.714 Cu0.714 Fe0.714 Ni1,FCC+BCC,6.9,367,,
Co1 Cr1 Cu1 Fe1 Ni1,FCC,8.3,286,230,206
Al0.1 Cr0.5 Cu0.5 Fe0.5 Ni1,FCC,8,,,197
Al0.2 Cr0.5 Cu0.5 Fe0.5 Ni1,FCC,7.8,,,190
Al0.3 Cr0.5 Cu0.5 Fe0.5 Ni1,FCC,7.5,,,185
Al0.4 Cr0.5 Cu0.5 Fe0.5 Ni1,FCC,7.3,,,179
Al0.6 Cr0.5 Cu0.5 Fe0.5 Ni1,FCC+BCC,6.9,,,
Al0.5 Cr0.5 Cu0.5 Fe0.5 Ni1,FCC+BCC,7.1,,,
Al1 Cr1 Cu1 Fe1 Ni1 Ti1,BCC+BCC+Sec.,6.3,,,
Al1 Cu0.889 Fe0.667 Ni0.889 Ti1,FCC,5.9,516,980,131
Al1 Cu0.889 Fe0.667 Ni0.889 Ti1,FCC,5.9,516,980,131
Al1 Cu1 Fe1 Ni1 Ti1,FCC,6.1,516,1074,137
Al1 Cu1 Ni1 Ti1,FCC,5.7,537,300,122
Al1 Cu0.062 Li0.062 Mg0.062 Zn0.062,FCC+Sec.,2.9,,488,
Al1 Li0.062 Mg0.062 Sn0.062 Zn0.062,FCC+Sec.,3,,415,
Al1 Cu0.2 Li0.5 Mg1 Zn0.5,Other,2.7,,,
Al1 Cu0.5 Li0.5 Mg1 Sn0.2,Other,3,,,
Al1 Li0.5 Mg1 Sn0.2 Zn0.5,FCC+Sec.,2.9,,546,
Al1 Li1 Mg1 Sn1 Zn1,FCC+HCP+Sec.,3.9,,600,
Al0.667 Li0.667 Mg0.333 Sc0.667 Ti1,FCC+HCP,2.7,591,,
Al0.214 Nb0.714 Ta0.571 Ti1 V0.143 Zr0.929,BCC,7.7,500,1965,107
Al0.214 Nb0.714 Ta0.571 Ti1 V0.143 Zr0.929,BCC,7.7,,678,107
Al0.214 Nb0.714 Ta0.571 Ti1 V0.143 Zr0.929,BCC,7.7,,166,107
Al0.214 Nb0.714 Ta0.714 Ti1 Zr0.929,BCC,8.1,490,1965,110
Al0.214 Nb0.714 Ta0.714 Ti1 Zr0.929,BCC,8.1,,362,110
Al0.214 Nb0.714 Ta0.714 Ti1 Zr0.929,BCC,8.1,,236,110
Al0.4 Hf0.6 Nb1 Ta1 Ti1 Zr1,BCC,9.1,500,1841,107
Al0.4 Hf0.6 Nb1 Ta1 Ti1 Zr1,BCC,9.1,,796,107
Al0.4 Hf0.6 Nb1 Ta1 Ti1 Zr1,BCC,9.1,,298,107
Al0.333 Nb0.667 Ta0.533 Ti1 V0.133 Zr0.667,BCC,7.6,530,2035,109
Al0.333 Nb0.667 Ta0.533 Ti1 V0.133 Zr0.667,BCC,7.6,,796,109
Al0.333 Nb0.667 Ta0.533 Ti1 V0.133 Zr0.667,BCC,7.6,,220,109
Al1 Mo0.5 Nb1 Ta0.5 Ti1 Zr1,BCC+B2,7.1,591,2000,
Al1 Mo0.5 Nb1 Ta0.5 Ti1 Zr1,BCC+B2,7.1,,1597,
Al1 Mo0.5 Nb1 Ta0.5 Ti1 Zr1,BCC+B2,7.1,,745,
Al1 Mo0.5 Nb1 Ta0.5 Ti1 Zr1,BCC+B2,7.1,,250,
Al0.667 Nb1 Ta0.333 Ti1 Zr0.333,BCC,6.8,408,1280,105
Al0.667 Nb1 Ta0.333 Ti1 Zr0.333,BCC,6.8,,728,105
Al0.667 Nb1 Ta0.333 Ti1 Zr0.333,BCC,6.8,,403,105
Al0.3 Hf1 Nb1 Ta1 Ti1 Zr1,BCC,9.5,353,1188,105
Al0.5 Hf1 Nb1 Ta1 Ti1 Zr1,BCC,9.3,396,1302,104
Al0.75 Hf1 Nb1 Ta1 Ti1 Zr1,BCC,9.1,427,1415,103
Al1 Hf1 Nb1 Ta1 Ti1 Zr1,BCC+Sec.,8.9,441,1489,
Hf1 Nb1 Ta1 Ti1 Zr1,BCC,9.9,295,1073,107
Al0.25 Mo1 Nb1 Ti1 V1,BCC,7.1,460,1250,161
Al0.5 Mo1 Nb1 Ti1 V1,BCC,6.8,487,1625,156
Al0.75 Mo1 Nb1 Ti1 V1,BCC,6.6,517,1260,151
Al1 Mo1 Nb1 Ti1 V1,BCC,6.4,537,1375,147
Mo1 Nb1 Ti1 V1,BCC,7.3,441,1200,167
Al0.25 Nb1 Ta1 Ti1 V1,BCC,8.8,,1330,130
Al0.5 Nb1 Ta1 Ti1 V1,BCC,8.5,,1014,127
Al1 Nb1 Ta1 Ti1 V1,BCC,7.9,,993,122
Nb1 Ta1 Ti1 V1,BCC,9.2,,1092,134
Al1 Nb1 Ti1 V1,BCC,5.5,448,1020,104
Al1 Nb1 Ti1 V1,BCC,5.5,,810,104
Al1 Nb1 Ti1 V1,BCC,5.5,,685,104
Al1 Nb1 Ti1 V1,BCC,5.5,,158,104
Cr1 Mo0.5 Nb1 Ta0.5 Ti1 Zr1,BCC+BCC+Sec.,8,540,1595,
Cr1 Mo0.5 Nb1 Ta0.5 Ti1 Zr1,BCC+BCC+Sec.,8,,983,
Cr1 Mo0.5 Nb1 Ta0.5 Ti1 Zr1,BCC+BCC+Sec.,8,,546,
Cr1 Mo0.5 Nb1 Ta0.5 Ti1 Zr1,BCC+BCC+Sec.,8,,170,
Cr1 Nb1 Ti1 V1 Zr1,BCC+Sec.,6.6,482,1298,
Cr1 Nb1 Ti1 V1 Zr1,BCC+Sec.,6.6,,1230,
Cr1 Nb1 Ti1 V1 Zr1,BCC+Sec.,6.6,,615,
Cr1 Nb1 Ti1 V1 Zr1,BCC+Sec.,6.6,,259,
Cr1 Nb1 Ti1 Zr1,BCC+Sec.,6.6,418,1260,
Cr1 Nb1 Ti1 Zr1,BCC+Sec.,6.6,,1035,
Cr1 Nb1 Ti1 Zr1,BCC+Sec.,6.6,,300,
Cr1 Nb1 Ti1 Zr1,BCC+Sec.,6.6,,115,
Nb0.5 Ti0.5 V1 Zr0.5,BCC,6.4,304,918,105
Nb0.5 Ti0.5 V1 Zr0.5,BCC,6.4,,571,105
Nb0.5 Ti0.5 V1 Zr0.5,BCC,6.4,,240,105
Nb0.5 Ti0.5 V1 Zr0.5,BCC,6.4,,72,105
Nb1 Ti1 V1 Zr1,BCC,6.5,335,1105,100
Nb1 Ti1 V1 Zr1,BCC,6.5,,834,100
Nb1 Ti1 V1 Zr1,BCC,6.5,,187,100
Nb1 Ti1 V1 Zr1,BCC,6.5,,58,100
Hf0.5 Mo0.5 Nb1 Ti1 Zr1,BCC,7.9,,1176,115
C0.1 Hf0.5 Mo0.5 Nb1 Ti1 Zr1,BCC+Sec.,7.8,,1183,
C0.3 Hf0.5 Mo0.5 Nb1 Ti1 Zr1,BCC+Sec.,7.7,,1201,
Hf1 Mo0.25 Nb1 Ta1 Ti1 Zr1,BCC,9.9,395,1112,115
Hf1 Mo0.5 Nb1 Ta1 Ti1 Zr1,BCC,9.9,480,1317,123
Hf1 Mo0.75 Nb1 Ta1 Ti1 Zr1,BCC,9.9,492,1373,130
Hf1 Mo1 Nb1 Ta1 Ti1 Zr1,BCC,9.9,505,1512,137
Hf1 Nb1 Ta1 Ti1 Zr1,BCC,9.9,335,1015,107
Hf1 Mo1 Nb1 Ta1 Ti1 Zr1,BCC,9.9,505,1512,137
Hf1 Mo1 Nb1 Ta1 Ti1 Zr1,BCC,9.9,,1007,137
Hf1 Mo1 Nb1 Ta1 Ti1 Zr1,BCC,9.9,,814,137
